"module name","licenses","repository","licenseUrl","parents"
"ansi-html@0.0.7","Apache-2.0","https://github.com/Tjatse/ansi-html","https://github.com/Tjatse/ansi-html/raw/master/LICENSE","kiskba"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex","https://github.com/chalk/ansi-regex/raw/master/license","kiskba"
"ansi-regex@4.1.0","MIT","https://github.com/chalk/ansi-regex","https://github.com/chalk/ansi-regex/raw/master/license","ansi-align:kiskba"
"ansi-regex@5.0.0","MIT","https://github.com/chalk/ansi-regex","https://github.com/chalk/ansi-regex/raw/master/license","string-width:kiskba"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles","https://github.com/chalk/ansi-styles/raw/master/license","babel-code-frame:kiskba"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles","https://github.com/chalk/ansi-styles/raw/master/license","kiskba"
"ansi-styles@4.2.1","MIT","https://github.com/chalk/ansi-styles","https://github.com/chalk/ansi-styles/raw/master/license","chalk:kiskba"
"anymatch@2.0.0","ISC","https://github.com/micromatch/anymatch","https://github.com/micromatch/anymatch/raw/master/LICENSE","webpack:kiskba"
"anymatch@3.1.1","ISC","https://github.com/micromatch/anymatch","https://github.com/micromatch/anymatch/raw/master/LICENSE","kiskba"
"aproba@1.2.0","ISC","https://github.com/iarna/aproba","https://github.com/iarna/aproba/raw/master/LICENSE","kiskba"
"arch@2.1.1","MIT","https://github.com/feross/arch","https://github.com/feross/arch/raw/master/LICENSE","kiskba"
"arg@4.1.3","MIT","https://github.com/zeit/arg","https://github.com/zeit/arg/raw/master/LICENSE.md","kiskba"
"argparse@1.0.10","MIT","https://github.com/nodeca/argparse","https://github.com/nodeca/argparse/raw/master/LICENSE","kiskba"
"arity-n@1.0.4","MIT","https://github.com/stoeffel/arityN","https://github.com/stoeffel/arityN/raw/master/LICENSE","kiskba"
"arr-diff@4.0.0","MIT","https://github.com/jonschlinkert/arr-diff","https://github.com/jonschlinkert/arr-diff/raw/master/LICENSE","kiskba"
